filename,numbers,seuil,timeQuickSeuil,timeQuickRdmSeuil
./exemplaires/testset_1000_9.txt,1000,64,0.922082,0.412623
./exemplaires/testset_1000_9.txt,1000,128,1.63594,0.403729
./exemplaires/testset_1000_9.txt,1000,256,3.39814,0.409242
./exemplaires/testset_1000_10.txt,1000,0,0.409008,0.41168
./exemplaires/testset_1000_10.txt,1000,2,0.401554,0.412436
./exemplaires/testset_1000_10.txt,1000,4,0.402152,0.416142
./exemplaires/testset_1000_10.txt,1000,6,0.422095,0.415117
./exemplaires/testset_1000_10.txt,1000,8,0.417448,0.415907
./exemplaires/testset_1000_10.txt,1000,10,0.394407,0.415656
./exemplaires/testset_1000_10.txt,1000,12,0.41752,0.411611
./exemplaires/testset_1000_10.txt,1000,14,0.436676,0.417731
./exemplaires/testset_1000_10.txt,1000,16,0.433331,0.417303
./exemplaires/testset_1000_10.txt,1000,18,0.495273,0.422396
./exemplaires/testset_1000_10.txt,1000,20,0.493611,0.415944
./exemplaires/testset_1000_10.txt,1000,32,0.701888,0.410936
./exemplaires/testset_1000_10.txt,1000,64,0.89856,0.407005
./exemplaires/testset_1000_10.txt,1000,128,1.67936,0.407346
./exemplaires/testset_1000_10.txt,1000,256,3.155,0.41116
./exemplaires/testset_1000_11.txt,1000,0,0.457499,0.437035
./exemplaires/testset_1000_11.txt,1000,2,0.36578,0.421494
./exemplaires/testset_1000_11.txt,1000,4,0.387002,0.4312
./exemplaires/testset_1000_11.txt,1000,6,0.360418,0.423745
./exemplaires/testset_1000_11.txt,1000,8,0.406381,0.421946
./exemplaires/testset_1000_11.txt,1000,10,0.426285,0.426753
./exemplaires/testset_1000_11.txt,1000,12,0.418497,0.419649
./exemplaires/testset_1000_11.txt,1000,14,0.435208,0.416381
./exemplaires/testset_1000_11.txt,1000,16,0.452002,0.420971
./exemplaires/testset_1000_11.txt,1000,18,0.478766,0.41651
./exemplaires/testset_1000_11.txt,1000,20,0.481146,0.439849
./exemplaires/testset_1000_11.txt,1000,32,0.630725,0.447024
./exemplaires/testset_1000_11.txt,1000,64,0.938714,0.429415
./exemplaires/testset_1000_11.txt,1000,128,1.8786,0.426821
./exemplaires/testset_1000_11.txt,1000,256,3.19696,0.428974
./exemplaires/testset_1000_12.txt,1000,0,0.542938,0.457753
./exemplaires/testset_1000_12.txt,1000,2,0.351256,0.429006
./exemplaires/testset_1000_12.txt,1000,4,0.355413,0.431872
./exemplaires/testset_1000_12.txt,1000,6,0.402746,0.433192
./exemplaires/testset_1000_12.txt,1000,8,0.35953,0.435523
./exemplaires/testset_1000_12.txt,1000,10,0.417832,0.453142
./exemplaires/testset_1000_12.txt,1000,12,0.388911,0.46001
./exemplaires/testset_1000_12.txt,1000,14,0.479606,0.440274
./exemplaires/testset_1000_12.txt,1000,16,0.464363,0.43558
./exemplaires/testset_1000_12.txt,1000,18,0.494769,0.441724
./exemplaires/testset_1000_12.txt,1000,20,0.503826,0.46274
./exemplaires/testset_1000_12.txt,1000,32,0.61655,0.43615
./exemplaires/testset_1000_12.txt,1000,64,0.92006,0.447438
./exemplaires/testset_1000_12.txt,1000,128,1.44745,0.433628
./exemplaires/testset_1000_12.txt,1000,256,3.15584,0.437549
./exemplaires/testset_1000_13.txt,1000,0,0.52834,0.455399
./exemplaires/testset_1000_13.txt,1000,2,0.375798,0.425164
./exemplaires/testset_1000_13.txt,1000,4,0.405218,0.439229
./exemplaires/testset_1000_13.txt,1000,6,0.387163,0.437304
./exemplaires/testset_1000_13.txt,1000,8,0.410248,0.432939
./exemplaires/testset_1000_13.txt,1000,10,0.390874,0.467752
./exemplaires/testset_1000_13.txt,1000,12,0.518798,0.466395
./exemplaires/testset_1000_13.txt,1000,14,0.538647,0.443112
./exemplaires/testset_1000_13.txt,1000,16,0.437264,0.434737
./exemplaires/testset_1000_13.txt,1000,18,0.482933,0.443095
./exemplaires/testset_1000_13.txt,1000,20,0.515715,0.458863
./exemplaires/testset_1000_13.txt,1000,32,0.60538,0.435648
./exemplaires/testset_1000_13.txt,1000,64,0.917803,0.432307
./exemplaires/testset_1000_13.txt,1000,128,1.88275,0.433923
./exemplaires/testset_1000_13.txt,1000,256,3.05641,0.428313
./exemplaires/testset_1000_14.txt,1000,0,0.389775,0.458977
./exemplaires/testset_1000_14.txt,1000,2,0.371181,0.447682
./exemplaires/testset_1000_14.txt,1000,4,0.391072,0.454252
./exemplaires/testset_1000_14.txt,1000,6,0.388224,0.450219
./exemplaires/testset_1000_14.txt,1000,8,0.377852,0.44728
./exemplaires/testset_1000_14.txt,1000,10,0.397255,0.448442
./exemplaires/testset_1000_14.txt,1000,12,0.411834,0.445664
./exemplaires/testset_1000_14.txt,1000,14,0.427929,0.442196
./exemplaires/testset_1000_14.txt,1000,16,0.453898,0.440964
./exemplaires/testset_1000_14.txt,1000,18,0.471062,0.444966
./exemplaires/testset_1000_14.txt,1000,20,0.480291,0.492251
./exemplaires/testset_1000_14.txt,1000,32,0.617699,0.471149
./exemplaires/testset_1000_14.txt,1000,64,0.995627,0.450962
./exemplaires/testset_1000_14.txt,1000,128,1.92529,0.44478
./exemplaires/testset_1000_14.txt,1000,256,2.80723,0.45039
./exemplaires/testset_1000_15.txt,1000,0,0.38686,0.459115
./exemplaires/testset_1000_15.txt,1000,2,0.358911,0.469537
